"","Cyclades granites","","","","","","","","","","","","","","","","","",""
"Sampl.","LA-2","LA-3","SER-1","SER-56","SER-30","SER-2a","MYK-1","MYK-3","NX-10","NX-14","NX-16G","NX-18","NX-1 N","NX-5","NX-8","PA-4","PA-9","PA-12","PA-13"
"SiO2","70.6","71.2","68.6","64.5","58.8","61.1","69.5","67.2","70.4","76.5","69.7","69.5","71.4","68.7","68.8","75.40","74.04","72.35","67.91"
"TiO2","0.45","0.44","0.70","0.60","0.65","0.83","0.61","0.72","0.50","0.11","0.61","0.63","0.41","0.63","0.63","0.03","0.06","0.28","0.57"
"Al2O3","14.6","14.5","15.5","16.3","16.4","17.0","15.1","15.1","14.4","13.6","14.2","14.5","14.0","14.9","14.5","14.93","14.87","15.42","16.70"
"Fe2O3","3.01","2.64","3.60","4.30","5.00","5.00","2.83","4.33","2.78","0.92","3.27","3.23","2.35","3.46","3.25","0.53","0.63","1.72","3.02"
"MnO","0.02","0.01","0.09","0.05","0.07","0.13","0.04","0.07","0.05","0.03","0.05","0.05","0.05","0.05","0.06","0.08","0.01","0.03","0.03"
"MgO","0.95","0.89","1.55","2.53","4.89","3.55","1.20","1.70","1.32","0.25","1.33","1.32","1.04","1.69","1.34","0.08","0.16","0.37","0.86"
"CaO","2.95","3.03","4.05","5.06","6.56","5.54","3.24","4.44","2.98","1.05","3.00","3.57","2.69","3.59","3.13","1.21","1.10","1.94","2.74"
"Na2O","2.75","2.60","3.40","3.15","2.97","3.47","2.50","2.98","2.69","2.90","2.74","2.59","2.87","2.60","2.71","4.24","3.26","3.60","3.51"
"K2O","3.70","3.70","2.72","2.62","3.10","3.05","4.52","3.45","4.61","5.00","4.21","3.87","4.36","4.15","4.39","3.87","5.24","4.19","3.84"
"P2O5","0.11","0.11","0.11","0.11","0.12","0.13","0.16","0.18","0.14","0.03","0.18","0.15","0.12","0.18","0.20","0.04","0.05","0.09","0.17"
"LOI","0.60","0.42","0.62","0.90","0.77","0.67","0.40","0.34","0.38","0.22","0.30","0.40","0.63","0.61","0.54","0.30","0.28","0.39","0.54"
"Total","99.7","99.5","100.9","100.2","100.4","100.50","100.1","100.5","100.2","100.6","99.6","99.8","99.9","100.5","99.5","100.31","99.41","99.98","99.34"
"Sc","78","3","16","14","22","36","11","11","7","4","10","8","7","12","12","6","5","8","9"
"V","50","47","64","93","115","97","36","43","36","5","38","31","32","47","45","10","10","17","24"
"Cr","10","4","61","6","247","30","9","16","32","3","21","11","9","25","25","8","<1","24","2"
"Co","42","35","8","11","15","13","37","38","39","36","38","46","35","40","30","<2","<2","3","6"
"Ni","<1","<1","2","8","12","7","7","9","10","<1","< 1","< 1","17","10","5","<1","<1","0","1"
"Cu","","2","6","4","6","8","2","7","3","<1","1","< 2","2","7","5","<2","<2","<2","1"
"Zn","16","9","109","82","86","129","44","73","40","20","51","46","36","54","49","17","21","34","50"
"Ga","18","18","15","16","17","16","20","24","20","22","21","18","20","20","20","20","20","22","23"
"Rb","110","100","81","70","78","99","172","206","213","283","237","184","235","189","219","214","207","214","159"
"Sr","414","425","299","371","404","287","519","370","410","95","359","412","333","455","404","68","159","242","383"
"Y","30","27","27","24","31","41","40","27","26","39","28","44","28","31","33","28","36","11","15"
"Zr","223","220","220","163","161","203","296","357","212","80","238","233","193","257","232","57","47","169","318"
"Nb","17","16","15","9","5","15","20","21","21","24","27","30","25","26","25","8","24","9","9"
"Ba","745","790","607","644","480","689","1035","447","562","182","484","564","469","601","604","87","438","552","976"
"La","29","28","23","21","18","23","36","36","29","19","30","34","23","40","33","10","10","17","35"
"Ce","49","51","41","38","38","49","69","74","56","41","58","74","41","75","69","18","10","32","74"
"Nd","24","21","20","19","27","26","24","28","25","19","25","34","15","27","26","8","2","9","24"
"Th","14","14","7","7","5","4","11","14","10","20","16","18","16","23","17","8","13","14","19"
"A/CNK","1.07","1.05","0.98","0.95","0.82","0.90","1.02","0.91","0.97","1.10","0.98","0.97","0.98","0.98","0.98","1.12","1.14","1.11","1.12"
