"Experimentalcondition","Solidfraction(%)","Mineralmode(%)(ol:opx:cpx:pl:mt)","","Bulkpartitioncoefﬁcient","","","","Cumulatecomposition(ppm)","",""
"HamadaandFujii(2008)","","","La","Sm","Zr","Ti","La","Sm","Zr","Ti"
"Anhydrous,2kbar","7","14:00:00:86:00","018","0099","0002","0051","35","08","02","313"
"Anhydrous,2kbar","32","31:00:00:69:00","014","0079","0003","0043","37","08","03","356"
"Anhydrous,4kbar","7","00:29:00:71:00","015","0091","0011","0069","29","07","07","14"
"Anhydrous,4kbar","25","00:36:00:64:00","013","0082","0010","0062","32","08","08","15"
"Anhydrous,7kbar","13","00:38:00:62:00","013","0079","0010","0082","27","07","08","535"
"Anhydrous,7kbar","55","00:25:24:49:02","011","014","0047","041","41","19","62","3475"
"27%H2O,2kbar","3","33:00:00:00:67","0002","0005","0032","97","00","00","21","44118"
"27%H2O,2kbar","20","30:00:00:55:15","011","0064","0009","22","26","06","07","10,231"
"27%H2O,4kbar","13","00:46:08:23:23","0053","0064","0035","34","11","05","25","15,024"
"27%H2O,4kbar","31","00:26:23:39:13","0092","013","0050","20","24","13","45","8792"
"27%H2O,7kbar","8","00:63:25:00:13","0014","0097","0062","20","03","08","42","10,544"
"27%H2O,7kbar","14","00:36:43:07:14","0037","016","0086","23","08","13","62","11,089"
"27%H2O,7kbar","41","00:20:27:41:12","010","014","0055","19","30","16","57","8003"
