"","Table2Rb,Sr,SmandNdconcentrationsandSrandNdisotopicdataofYelagiriandSevatturplutonsandtheirhostgneisses","","","","","","","",""
"SampleNoRb(ppm)","","Sr(ppm)","87Rb/86Sr","87Sr/e6Sr","SrI(757Ma)","ESr","Sm(pprn)","Nd(ppm)","147Sm/144Nd"
"Yelagirisyenite","","","","","","","","",""
"Ye-2","152","1440","03045","0708452(06)","0705161","221","965","567","01028"
"Ye-3","124","1480","02424","0707768(06)","0705148","219","752","480","00948"
"Ye-4","181","1422","03677","0709185(10)","0705211","228","932","560","01006"
"Ye-5","172","1357","03666","0709189(07)","0705227","230","843","494","01032"
"Ye-7","140","1419","02851","0708253(07)","0705172","223","803","524","00926"
"Ye-9","163","1885","02503","0707946(06)","0705241","232","134","699","01162"
"Ye-10","156","1791","02525","0708004(07)","0705275","237","802","426","01139"
"Ye-11","123","2083","01703","0707039(06)","0705198","226","809","423","01156"
"Ye-13","474","1169","01174","0706487(13)","0705218","229","188","109","01045"
"Sevattursyenite","","","","","","","","",""
"Se-l","800","2447","00946","0705416(12)","0704394","112","101","549","01109"
"Se-2","219","989","06402","0711374(12)","0704455","121","675","411","00992"
"Se-3","819","2091","01134","0705706(12)","0704481","124","782","434","01090"
"Se-4","148","1434","02986","0707578(10)","0704351","106","612","348","01063"
"Se-5","142","1391","02943","0707561(14)","0704380","110","790","446","01070"
"Se-6","127","2209","01665","0706112(10)","0704313","100","844","478","01068"
"Se-7","601","2427","00717","0705207(14)","0704433","117","118","638","01119"
"Se-8","979","2091","01354","0705946(14)","0704483","125","938","509","01115"
"Se-9","119","2442","01406","0705981(09)","0704462","122","848","472","01087"
"Sevatturhighsilicarock","","","","","","","","",""
"Se-hl","109","558","05642","0710450(11)","0704353","106","221","143","00931"
"Se-h2","107","556","05552","0710422(11)","0704421","116","212","140","00913"
"Sevatturpyroxenite","","","","","","","","",""
"SePx-l","580","705","00238","0704632(12)","0704375","109","193","962","01211"
"SePx-2","715","986","00210","0704622(11)","0704395","112","209","111","01138"
"Sevatturcarbonatite","","","","","","","","",""
"SeCaOlA","008","7212","000003","0705281(12)","0705281","238","457","227","01217"
"SeCa04A","005","8292","000002","0705192(13)","0705192","225","506","232","01320"
"SeCa04B","005","8304","000002","0705313(14)","0705313","243","529","272","01176"
"SeCa04D","007","8173","000002","0705251(11)","0705251","234","513","265","01169"
"SeCa05A","024","8806","000008","0705103(10)","0705102","213","980","663","00894"
"SeCa05B","057","8779","000019","0705107(08)","0705105","213","770","497","00937"
"SeCaOSC","053","8571","000018","0705108(11)","0705106","213","975","631","00935"
"SeCa05D","115","8353","000040","0705085(09)","0705081","210","114","717","00959"
"SeCa06A","039","9609","000012","0705146(14)","0705145","219","255","159","00972"
"","HornblendegneissnearbySevatturpluton","","","","","","","",""
"2205B","396","427","02684","0711280(12)","0708379","678","666","564","00714"
