"","","Clinopyroxene","","","","","","","Amphibole","","","","","","","","Feldspar","","","",""
"","Spessartites","","","","Gabbros","","","","Spessartites","","","","Gabbros","","","","Spessartites","","","Gabbros",""
"","","","","","","","","","TMH","TMH","Ka","TPg","M Hb","TM Hb","FM Hb","M Hb","Kfs","Pl","Pl","Pl","Pl"
"Sample","S16c","S16r","S17c","S17r","S23c","S23r","S9c","S9r","101Dr","101Dc","S17c","S17r","S13c","S13","S13c","S13r","S12","S12c","S12r","S0p8c","S9p8r"
"SiO2","50.43","50.76","51.78","51.62","52.52","52.49","51.48","52.24","41.74","41.71","41.64","42.09","48.92","47.65","48.73","48.24","63.92","66.34","66.11","55.64","56.74"
"TiO2","0.77","0.71","0.60","0.55","0.66","0.58","0.79","0.69","4.50","4.44","4.49","4.40","1.27","2.48","1.24","1.29","na","na","na","na","na"
"Al2O3","3.21","3.26","2.20","2.32","2.66","2.19","2.73","2.58","11.47","11.36","11.36","11.37","5.43","3.95","5.37","5.74","18.22","20.67","21.01","27.26","26.84"
"Cr2O3","0.18","0.30","0.21","0.30","0.001","0.001","0.001","0.001","0.03","0.00","0.00","0.01","0.03","0.02","0.03","0.02","na","na","na","na","na"
"MgO","15.62","15.90","16.66","16.74","16.18","17.22","15.52","15.56","13.06","13.04","12.98","12.87","11.21","11.33","12.06","11.33","0.00","0.01","0.00","0.11","0.08"
"CaO","20.18","19.90","19.02","19.13","17.54","15.18","17.56","17.75","11.65","11.55","11.50","11.64","11.12","13.12","9.97","10.97","0.06","1.76","2.08","10.54","9.71"
"MnO","0.20","0.21","0.22","0.23","0.30","0.30","0.25","0.25","0.19","0.21","0.15","0.18","0.21","0.35","0.28","0.20","0.02","0.00","0.01","0.02","0.00"
"FeO","8.05","7.95","8.79","8.04","10.38","12.48","11.20","10.48","11.78","11.94","11.31","12.19","18.15","17.47","18.24","17.20","0.05","0.02","0.16","0.63","0.53"
"Na2O","0.37","0.33","0.27","0.30","0.35","0.28","0.36","0.37","2.25","2.42","2.32","2.44","1.02","0.68","1.11","1.04","0.37","10.88","10.98","5.55","6.00"
"K2O","0.01","0.00","0.00","0.00","0.01","0.00","0.01","0.00","1.07","1.11","1.09","1.06","0.45","0.55","0.50","0.52","15.31","0.08","0.06","0.28","0.35"
"Total","99.02","99.31","99.74","99.23","100.6","100.7","99.91","99.92","97.78","97.80","96.86","98.2","97.84","97.20","97.57","96.58","99.05","99.75","100.4","100","100.3"
"Si","1.89","1.89","1.92","1.92","1.93","1.94","1.92","1.94","6.16","6.16","6.198","6.195","7.20","7.167","7.08","7.174","2.995","2.920","2.899","2.515","2.551"
"Ti","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.50","0.49","0.503","0.487","0.14","0.281","0.14","0.144","na","na","na","na","na"
"Al","0.14","0.14","0.10","0.10","0.12","0.10","0.12","0.11","","","","","","","","","1.006","1.072","1.086","1.452","1.422"
"Mg","0.87","0.88","0.92","0.93","0.89","0.95","0.86","0.86","2.87","2.87","2.879","2.823","2.46","2.540","2.61","2.512","0.000","0.001","0.000","0.007","0.005"
"Ca","0.81","0.80","0.76","0.76","0.69","0.60","0.70","0.71","1.84","1.83","1.835","1.835","1.75","2.115","1.55","1.748","0.003","0.083","0.098","0.511","0.468"
"Mn","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.03","0.019","0.022","0.03","0.045","0.03","0.025","0.001","0.000","0.001","0.001","0.000"
"Fe2","0.25","0.25","0.27","0.25","0.32","0.39","0.35","0.33","1.29","1.31","1.347",".401","1.73","2.197","1.08","1.675","0.002","0.001","0.006","0.024","0.020"
"Na","0.03","0.02","0.02","0.02","0.03","0.02","0.03","0.03","0.64","0.69","0.668","0.695","0.29","0.199","0.31","0.300","0.033","0.928","0.934","0.486","0.523"
"AlIV","0.11","0.11","0.08","0.08","0.07","0.06","0.08","0.06","1.84","1.84","1.802","1.805","0.80","0.701","0.920","0.826","","","","",""
"AlVI","0.03","0.04","0.02","0.02","0.05","0.03","0.04","0.05","0.15","0.14","0.190","0.167","0.14","0.000","0.00","0.180","","","","",""
"Wo","40.01","38.72","37.51","37.63","33.40","29.40","34.36","34.00","","","","","","","","","","","","",""
"En","46.55","47.85","48.22","49.13","48.98","50.19","46.73","47.90","","","","","","","","","","","","",""
"Fs","13.45","13.42","14.27","13.24","17.62","20.41","18.91","18.10","","","","","","","","","","","","",""
"Mg#","78","78","77","79","74","71","71","73","69","68","681","66","59","53","71","60","","","","",""
