"Laseroutput","40Ar/39Ar","37Ar/39Ar","36Ar/39Ar(×10−3)","K/Ca","40Ar*(%)","39ArKfraction(%)","40Ar*/39ArK","Age(±1s)(Ma)"
"Sample2680,DasGericht,","J=000149","","","","","","",""
"0018","923±10","542±1287","6823±28","001","7889","031","766±96","1374±120"
"002","2392±17","238±174","191±7","000","8880","018","271±61","612±117"
"0024","2303±09","99±83","175±3","001","8290","045","210±21","491±42"
"0028","1404±09","48±36","541±14","001","9288","103","136±7","334±15"
"0032","1466±04","1±7","216±04","102","9569","510","1403±14","343±3"
"0034","1338±03","6±3","1030±012","009","9831","1191","1323±06","3249±17"
"0035","1309±03","33±5","1084±020","002","9948","1908","1341±10","329±2"
"0036","1285±02","32±5","83±02","002","9937","1582","1314±09","323±2"
"0038","1267±08","146±19","814±009","004","9953","4613","1278±09","315±2"
"Sample2693,Julienstein,","J=000149,","","","","","","",""
"002","5731±29","131±52","693±9","000","6710","070","436±25","903±40"
"0025","1982±16","139±44","308±3","000","6283","087","142±9","347±20"
"0028","1496±05","73±22","504±10","001","9608","176","154±4","373±10"
"003","1355±06","37±10","230±05","002","9841","424","1380±20","338±5"
"0032","1403±03","1±3","1292±012","075","9735","1292","1367±07","3346±19"
"0034","1360±06","36±6","949±017","002","9941","1937","1397±13","341±3"
"0036","1346±05","15±3","715±013","004","9979","5089","1361±07","333±2"
"0037","12897±006","4±5","52±02","013","9922","925","1285±09","316±2"
