"Sm,Nd,RbandSrabundancesandisotopiccompositionfromSangmelimagraniticandTTGgroups/suites","","","","","",""
"Sm","Nd","147Sm/","143Nd/","eNdMa","eNd2721Ma","TDM/Ma"
"(ppm)","(ppm)","144Nd","144Nd±2rm","","","LH"
"6926","6614","00636","0510072(7)","","–335","3,180"
"4284","2342","01106","0510904(8)","","–369","3,190"
"6637","5354","00751","0510327(10)","","–245","3,100"
"1367","8749","00944","0510532(7)","","–531","3,320"
"0336","2581","00741","0510289(10)","","–452","3,130"
"","","","","eNd2834Ma","",""
"0509","4558","00675","0510137(12)","–165","–356","3,120"
"5727","531","00651","0510161(9)","–033","–228","3,010"
"3282","2035","00974","0510739(8)","–085","–232","3,050"
"1764","1316","0081","0510432(8)","–083","–254","3,050"
"4302","3217","00808","0510472(8)","003","–168","2,980"
"","","","","eNd2900Ma","",""
"6153","2978","01249","0511277(9)","026","–142","3,010"
"1284","627","01238","0511258(7)","03","–14","3,010"
"682","3685","01118","0510955(9)","–116","–315","3,180"
"3557","1834","01172","0511051(8)","–13","–316","3,140"
"2047","715","01731","0512142(9)","–088","–143","3,100"
"286","1718","01006","0510666(10)","–261","–486","3,240"
"","","","","eNd2825Ma","",""
"0976","6338","0093","0510670(10)","–071","–212","3,030"
"051","3148","00979","0510621(30)","–345","–479","3,250"
"1578","1089","00876","0510472(14)","–258","–407","3,190"
"4545","3501","00784","0510334(9)","–195","–356","3,180"
