"Oxide","GH-2","GH-3","JCP-1","JCP-2","JCP-3","JCP-4a","JCP-5a","JCP-6","JCP-7","JCP-8","BS-1","BS-2"
"K2O","0.01","0.01","0.02","0.27","0.06","0.04","0.01","0.05","0.02","0.01","0.08","0.01"
"P2O5","0.02","0.01","0.02","0.03","0.04","0.02","0.02","0.01","0.02","0.01","0.02","0.01"
"LOI","4.90","5.88","5.67","5.07","3.94","4.73","4.59","4.72","6.72","5.02","5.80","4.98"
"Total","100.67","100.66","100.78","100.08","100.41","100.04","100.68","100.99","100.44","100.52","100.69","100.65"
"Ba","5","10","11","N.D.","10","10","6","13","9","8","12","22"
"Cr","1614","2193","2138","1009","1969","2209","3597","2923","2702",">4400","2709","3374"
"Nb","1.49","2.00","0.22","N.D.","1.20","0.56","1.10","1.93","1.89","2.44","0.67","N.D."
"Ni","2619","1559","1313","289","866","1388","1305","1396","1960","1652","1544","1564"
"Rb","0.90","3","3","1","1.60","1.70","1","1.20","0.90","2","0.60","0.59"
"Sr","18","9","24","106","23","48","45","23","35","12","20","N.D."
"V","84","117","141","294","188","146","261","108","160","217","130","123"
"Y","4","5","5","10","7","3","5","4","6","5","4","5"
"Zn","37","70","48","80","61","59","58","60","69","109","51","22"
"Zr","5","10","14","23","20","21","25","13","27","10","9","9"
"Th","0.02","","0.04","","0.85","0.07","0.16","0.09","1.03","0.16","0.08",""
"U","0.01","","0.01","","0.13","0.01","0.15","0.01","0.11","0.00","0.06",""
"Hf","0.15","","0.18","","0.87","0.19","0.12","0.25","1.19","0.07","0.23",""
"Pb","0.99","","2.04","","2.33","30.59","2.76","1.76","3.61","1.62","0.83",""
"Ti","1840","","3600","","4560","3920","4400","4560","3680","2720","2880",""
"La","0.33","","0.41","","8.56","0.82","0.54","0.21","3.14","0.90","0.43",""
"Ce","0.77","","1.18","","16.37","1.77","1.31","0.24","7.86","1.36","0.87",""
"Pr","0.09","","0.20","","2.09","0.26","0.19","0.07","1.10","0.12","0.10",""
"Nd","0.63","","1.50","","10.51","1.40","1.16","0.33","6.53","0.56","0.61",""
"Sm","0.24","","0.61","","2.79","0.53","0.43","0.15","2.20","0.19","0.23",""
"Eu","0.10","","0.18","","0.68","0.17","0.11","0.05","0.70","0.03","0.09",""
"Gd","0.27","","0.77","","2.61","0.61","0.46","0.21","2.24","0.17","0.31",""
"Tb","0.08","","0.17","","0.51","0.14","0.11","0.06","0.49","0.04","0.08",""
"Dy","0.38","","1.07","","2.85","0.83","0.52","0.44","2.49","0.26","0.49",""
"Ho","0.10","","0.22","","0.65","0.18","0.12","0.13","0.58","0.08","0.15",""
"Er","0.26","","0.66","","1.86","0.53","0.29","0.41","1.62","0.24","0.42",""
"Tm","0.03","","0.10","","0.26","0.08","0.04","0.06","0.25","0.04","0.04",""
"Yb","0.22","","0.60","","1.75","0.53","0.25","0.27","1.45","0.32","0.33",""
"Lu","0.04","","0.09","","0.30","0.08","0.04","0.06","0.24","0.05","0.08",""
"(cid:4)REE","3.55","","7.76","","51.77","7.92","5.59","2.71","30.88","4.40","4.24",""
"Fe2O3/Fe2O3 + MgO","0.14","0.16","0.22","0.40","0.30","0.19","0.27","0.14","0.23","0.23","0.23","0.23"
"CaO/Al2O3","0.64","1.08","0.96","0.86","0.92","0.84","1.27","1.32","0.64","0.61","1.19","0.82"
"Al2O3/TiO2","11.43","16.53","18.48","19.75","23.48","13.66","12.38","18.96","10.52","21.00","9.78","22.32"
"(Gd/Yb)N","1.01","","1.03","","1.20","0.92","1.47","0.64","1.24","0.43","0.76",""
"Nb/Th","64.87","","6.29","","1.40","7.85","6.77","21.65","1.83","15.61","8.79",""
"Nb/U","186.50","","27.50","","9.57","39.79","7.35","148.23","17.34","1217.50","11.93",""
"Nb/La","4.47","","0.54","","0.14","0.68","2.06","9.00","0.60","2.70","1.55",""
"(La/Sm)N","0.83","","0.41","","1.87","0.95","0.75","0.87","0.87","2.85","1.13",""
"(La/Yb)N","1.02","","0.45","","3.24","1.02","1.40","0.52","1.44","1.84","0.87",""
"Ti/Zr","368","","257","","228","186","176","350","136","272","320",""
